0	0.8
+0.001	+0.72
+0.002	+0.648
+0.003	+0.5832
+0.004	+0.52488
+0.005	+0.472392
+0.006	+0.425153
+0.007	+0.382638
+0.008	+0.344374
+0.009	+0.309936
+0.01	+0.278943
+0.011	+0.251048
+0.012	+0.225944
+0.013	+0.203349
+0.014	+0.183014
+0.015	+0.164713
+0.016	+0.148242
+0.017	+0.133417
+0.018	+0.120076
+0.019	+0.108068
+0.02	+0.0972613
+0.021	+0.0875352
+0.022	+0.0787817
+0.023	+0.0709035
+0.024	+0.0638132
+0.025	+0.0574318
+0.026	+0.0516887
+0.027	+0.0465198
+0.028	+0.0418678
+0.029	+0.037681
+0.03	+0.0339129
+0.031	+0.0305216
+0.032	+0.0274695
+0.033	+0.0247225
+0.034	+0.0222503
+0.035	+0.0200252
+0.036	+0.0180227
+0.037	+0.0162204
+0.038	+0.0145984
+0.039	+0.0131386
+0.04	+0.0118247
+0.041	+0.0106422
+0.042	+0.00957801
+0.043	+0.00862021
+0.044	+0.00775819
+0.045	+0.00698237
+0.046	+0.00628413
+0.047	+0.00565572
+0.048	+0.00509015
+0.049	+0.00458113
+0.05	+0.00412302
+0.051	+0.00371072
+0.052	+0.00333965
+0.053	+0.00300568
+0.054	+0.00270511
+0.055	+0.0024346
+0.056	+0.00219114
+0.057	+0.00197203
+0.058	+0.00177482
+0.059	+0.00159734
+0.06	+0.00143761
+0.061	+0.00129385
+0.062	+0.00116446
+0.063	+0.00104802
+0.064	+0.000943215
+0.065	+0.000848893
+0.066	+0.000764004
+0.067	+0.000687604
+0.068	+0.000618843
+0.069	+0.000556959
+0.07	+0.000501263
+0.071	+0.000451137
+0.072	+0.000406023
+0.073	+0.000365421
+0.074	+0.000328879
+0.075	+0.000295991
+0.076	+0.000266392
+0.077	+0.000239753
+0.078	+0.000215777
+0.079	+0.0001942
+0.08	+0.00017478
+0.081	+0.000157302
+0.082	+0.000141571
+0.083	+0.000127414
+0.084	+0.000114673
+0.085	+0.000103206
+0.086	+9.2885e-05
+0.087	+8.35965e-05
+0.088	+7.52369e-05
+0.089	+6.77132e-05
+0.09	+6.09419e-05
+0.091	+5.48477e-05
+0.092	+4.93629e-05
+0.093	+4.44266e-05
+0.094	+3.9984e-05
+0.095	+3.59856e-05
+0.096	+3.2387e-05
+0.097	+2.91483e-05
+0.098	+2.62335e-05
+0.099	+2.36101e-05
+0.1	+2.12491e-05
+0.101	+1.91242e-05
+0.102	+1.72118e-05
+0.103	+1.54906e-05
+0.104	+1.39415e-05
+0.105	+1.25474e-05
+0.106	+1.12927e-05
+0.107	+1.01634e-05
